date,open,high,low,close
2024-04-01 00:00:00,1.07933,1.07937,1.07921,1.07924
2024-04-01 00:01:00,1.07923,1.07946,1.07923,1.07935
2024-04-01 00:02:00,1.07934,1.07936,1.07931,1.07935
2024-04-01 00:03:00,1.07935,1.07955,1.07933,1.07948
2024-04-01 00:04:00,1.07948,1.07952,1.07946,1.07948
2024-04-01 00:05:00,1.07949,1.0796,1.07949,1.07957
2024-04-01 00:06:00,1.07956,1.07958,1.07948,1.07958
2024-04-01 00:07:00,1.07958,1.07958,1.07948,1.07952
2024-04-01 00:08:00,1.07952,1.07966,1.0795,1.07958
2024-04-01 00:09:00,1.07958,1.07959,1.07944,1.07948
2024-04-01 00:10:00,1.07948,1.07952,1.07946,1.07951
2024-04-01 00:11:00,1.0795,1.07956,1.07942,1.07956
2024-04-01 00:12:00,1.07954,1.0796,1.07953,1.07954
2024-04-01 00:13:00,1.07954,1.07958,1.0795,1.07955
2024-04-01 00:14:00,1.07954,1.07956,1.0795,1.07954
2024-04-01 00:15:00,1.07954,1.07958,1.07947,1.07958
2024-04-01 00:16:00,1.07958,1.07966,1.07948,1.07952
2024-04-01 00:17:00,1.07952,1.07964,1.07952,1.07962
2024-04-01 00:18:00,1.07962,1.07962,1.07954,1.07958
2024-04-01 00:19:00,1.07959,1.07962,1.07952,1.07962
2024-04-01 00:20:00,1.07962,1.07967,1.0796,1.07966
2024-04-01 00:21:00,1.07966,1.07971,1.07961,1.07964
2024-04-01 00:22:00,1.07964,1.07964,1.0796,1.07962
2024-04-01 00:23:00,1.07962,1.07972,1.0796,1.07972
2024-04-01 00:24:00,1.07972,1.07973,1.07971,1.07971
2024-04-01 00:25:00,1.0797,1.07985,1.07967,1.07982
2024-04-01 00:26:00,1.07982,1.07985,1.0798,1.0798
2024-04-01 00:27:00,1.07979,1.0798,1.07971,1.0798
2024-04-01 00:28:00,1.0798,1.0798,1.07972,1.07973
2024-04-01 00:29:00,1.07972,1.07977,1.07971,1.07972
2024-04-01 00:30:00,1.07971,1.07976,1.07969,1.07975
2024-04-01 00:31:00,1.07975,1.07986,1.07974,1.07986
2024-04-01 00:32:00,1.07987,1.0799,1.07982,1.07982
2024-04-01 00:33:00,1.07982,1.07985,1.07972,1.07972
2024-04-01 00:34:00,1.07972,1.07975,1.07962,1.07966
2024-04-01 00:35:00,1.07966,1.07967,1.07959,1.0796
2024-04-01 00:36:00,1.0796,1.07971,1.07956,1.07962
2024-04-01 00:37:00,1.07961,1.07968,1.07958,1.07959
2024-04-01 00:38:00,1.07958,1.07958,1.07952,1.07952
2024-04-01 00:39:00,1.07953,1.07964,1.07952,1.07962
2024-04-01 00:40:00,1.07963,1.07964,1.07956,1.07962
2024-04-01 00:41:00,1.07964,1.07972,1.07964,1.0797
2024-04-01 00:42:00,1.07971,1.07974,1.07964,1.07964
2024-04-01 00:43:00,1.07964,1.07966,1.0796,1.07962
2024-04-01 00:44:00,1.07962,1.07965,1.07955,1.07957
2024-04-01 00:45:00,1.07956,1.07957,1.07944,1.07945
2024-04-01 00:46:00,1.07945,1.07952,1.07944,1.07946
2024-04-01 00:47:00,1.07945,1.0795,1.07944,1.0795
2024-04-01 00:48:00,1.07949,1.07952,1.07948,1.07952
2024-04-01 00:49:00,1.07952,1.0796,1.07952,1.07958
2024-04-01 00:50:00,1.07958,1.07964,1.07954,1.07958
2024-04-01 00:51:00,1.07957,1.0796,1.07954,1.07958
2024-04-01 00:52:00,1.07957,1.07968,1.07956,1.07966
2024-04-01 00:53:00,1.07966,1.07966,1.07944,1.07946
2024-04-01 00:54:00,1.07945,1.07948,1.07933,1.07936
2024-04-01 00:55:00,1.07935,1.0794,1.07924,1.07924
2024-04-01 00:56:00,1.07924,1.07926,1.07915,1.07917
2024-04-01 00:57:00,1.07916,1.07921,1.07904,1.07908
2024-04-01 00:58:00,1.07907,1.07907,1.07904,1.07906
2024-04-01 00:59:00,1.07905,1.07916,1.07904,1.07914
2024-04-01 01:00:00,1.07915,1.07922,1.0791,1.07914
2024-04-01 01:01:00,1.07913,1.07918,1.079,1.07906
2024-04-01 01:02:00,1.07905,1.07917,1.07904,1.07916
2024-04-01 01:03:00,1.07915,1.07924,1.07914,1.07923
2024-04-01 01:04:00,1.07923,1.07934,1.07922,1.07933
2024-04-01 01:05:00,1.07933,1.07941,1.07932,1.07937
2024-04-01 01:06:00,1.07938,1.07947,1.07937,1.07947
2024-04-01 01:07:00,1.07946,1.07946,1.07926,1.07926
2024-04-01 01:08:00,1.07927,1.07929,1.07926,1.07927
